Date,Close,High,Low,Open,Volume
10/31/2022,1596.001953,1596.001953,1571.941622,1579.961732,76758600
11/1/2022,1503.770508,1579.961547,1491.740344,1579.961547,175308100
11/2/2022,1499.760742,1531.841186,1479.710465,1503.770798,101047500
11/3/2022,1503.770508,1527.830836,1495.750398,1499.760453,57965500
11/4/2022,1503.770508,1519.810727,1487.730289,1495.750398,84299700
11/7/2022,1535.851074,1535.851074,1495.750524,1503.770634,74309100
11/8/2022,1507.780518,1523.820736,1495.750354,1523.820736,71681200
11/9/2022,1459.659912,1491.74035,1455.649857,1479.710186,117969800
11/10/2022,1395.499023,1427.579461,1383.468859,1403.519133,153812400
11/11/2022,1399.509155,1419.55943,1379.458881,1403.51921,96575300
11/14/2022,1403.519287,1427.579618,1399.509232,1399.509232,60258000
11/15/2022,1407.529297,1431.589627,1395.499132,1423.569517,55915600
11/16/2022,1431.589478,1459.659859,1411.539205,1447.629696,86525300
11/17/2022,1439.609741,1447.629851,1403.519246,1415.549411,73229600
11/18/2022,1439.609741,1451.639906,1427.579576,1439.609741,40162000
11/21/2022,1479.710083,1487.730192,1447.629648,1447.629648,65550500
11/22/2022,1483.720337,1503.770612,1463.670062,1491.740447,59965000
11/23/2022,1503.770508,1519.810727,1491.740344,1491.740344,45573200
11/24/2022,1503.770508,1515.800672,1499.760453,1507.780562,24418800
11/25/2022,1495.750488,1503.770598,1479.710269,1503.770598,33140500
11/28/2022,1499.760742,1515.800964,1491.740631,1499.760742,40277700
11/29/2022,1555.901245,1555.901245,1515.800698,1519.810752,94151500
11/30/2022,1551.891357,1575.951689,1543.871247,1563.921523,152171400
12/1/2022,1563.921509,1575.951674,1559.911454,1575.951674,56516100
12/2/2022,1543.871094,1559.911313,1531.840929,1559.911313,36882200
12/5/2022,1515.800659,1559.91126,1507.78055,1555.901206,51037700
12/6/2022,1527.830811,1535.85092,1503.770483,1523.820756,56845900
12/7/2022,1535.851074,1551.891294,1515.800799,1531.841019,59277300
12/8/2022,1499.760742,1539.861297,1487.730576,1535.851241,63665900
12/9/2022,1475.700195,1499.760525,1455.649921,1495.75047,67555400
12/12/2022,1523.820801,1531.84091,1471.690089,1475.700144,76652000
12/13/2022,1499.760742,1519.811019,1499.760742,1519.811019,51354800
12/14/2022,1555.901245,1579.961574,1507.780588,1511.790643,131274900
12/15/2022,1563.921509,1591.991895,1543.871233,1559.911454,69993700
12/16/2022,1559.911377,1571.941542,1543.871157,1551.891267,63989300
12/19/2022,1591.991821,1591.991821,1551.891272,1551.891272,58801000
12/20/2022,1571.94165,1600.012037,1567.931595,1591.991927,47259900
12/21/2022,1571.94165,1575.951706,1555.901429,1559.911485,36433600
12/22/2022,1575.951416,1579.961471,1563.921253,1567.931307,32321000
12/23/2022,1527.830811,1547.881084,1523.820756,1547.881084,118489300
12/26/2022,1523.820801,1543.871074,1515.800691,1531.84091,45950200
12/27/2022,1503.770508,1527.830836,1495.750398,1523.820781,60813800
12/28/2022,1503.770508,1511.790617,1483.720234,1507.780562,52254700
12/29/2022,1523.820801,1531.84091,1487.730308,1499.760472,64775200
12/30/2022,1543.871094,1551.891203,1511.790655,1527.830875,98381200
1/2/2023,1540.130249,1565.870587,1540.130249,1548.710362,69696600
1/3/2023,1510.099854,1540.130248,1501.519741,1540.130248,95601300
1/4/2023,1415.71875,1527.260227,1415.71875,1518.680114,163804600
1/5/2023,1329.917358,1402.84831,1321.337246,1394.268198,225480200
1/6/2023,1347.077759,1368.528042,1325.627476,1325.627476,133608100
1/9/2023,1299.886841,1359.947619,1278.436563,1351.367508,165697500
1/10/2023,1347.077759,1347.077759,1278.436854,1304.177193,149820700
1/11/2023,1364.238037,1377.108207,1321.33747,1347.07781,101097700
1/12/2023,1325.627441,1342.787667,1308.467216,1338.497611,78240400
1/13/2023,1347.077759,1351.367815,1334.207589,1338.497646,49588400
1/16/2023,1329.917358,1342.787526,1325.627302,1338.49747,25866600
1/17/2023,1347.077759,1351.367815,1308.46725,1312.757306,51667000
1/18/2023,1359.947998,1385.688339,1351.367884,1355.657941,61754000
1/19/2023,1385.68811,1385.68811,1347.077606,1347.077606,47144100
1/20/2023,1389.978271,1398.558384,1377.108102,1394.268328,50695900
1/24/2023,1372.818237,1394.268522,1359.948066,1389.978465,34335900
1/25/2023,1342.78772,1368.528059,1338.497663,1368.528059,42325000
1/26/2023,1291.307007,1317.047346,1282.726894,1308.467233,83858800
1/27/2023,1312.757324,1321.337437,1278.436871,1278.436871,63547600
1/30/2023,1291.307007,1329.917515,1278.436837,1312.757289,47836700
1/31/2023,1269.856689,1295.597028,1261.276577,1274.146746,79164200
2/1/2023,1265.56665,1287.016933,1256.986538,1261.276594,59728700
2/2/2023,1231.246216,1274.146781,1231.246216,1261.276611,88969700
2/3/2023,1184.055664,1231.246288,1175.475551,1231.246288,101999600
2/6/2023,1192.63562,1218.375957,1166.895283,1184.055508,80778600
2/7/2023,1239.826416,1265.566757,1226.956246,1226.956246,113365400
2/8/2023,1252.696533,1261.276646,1231.24625,1244.11642,50651900
2/9/2023,1218.376099,1239.826382,1209.795985,1226.956212,58268500
2/10/2023,1175.475464,1192.63569,1162.605295,1179.76552,73205300
2/13/2023,1192.63562,1214.085901,1192.63562,1196.925676,58110000
2/14/2023,1214.085938,1222.66605,1188.3456,1196.925712,47207700
2/15/2023,1265.56665,1304.177158,1231.246199,1231.246199,150083400
2/16/2023,1252.696533,1282.72693,1239.826363,1274.146816,49484000
2/17/2023,1235.536255,1256.986537,1226.956142,1252.696481,45060800
2/20/2023,1244.116211,1248.406267,1209.795764,1231.246043,67438100
2/21/2023,1209.795898,1244.116349,1209.795898,1226.956124,57575900
2/22/2023,1222.666138,1248.406477,1218.376081,1235.536308,51853800
2/23/2023,1244.116211,1265.56649,1231.246043,1235.536099,80466800
2/24/2023,1239.826416,1269.856814,1235.536359,1256.986643,72020500
